run,trial_index,face,face_onset_psy,face_onset_dev,correct_key,response_key,is_resp_corr,rt_psy,rt_dev
1,1,WSB,7.779190375003964,624.444372167,red,NaN,0,NaN,NaN
1,2,WNB,9.612266083015129,626.278327,red,NaN,0,NaN,NaN
1,3,MNB,11.412182832835242,628.0792169580001,green,NaN,0,NaN,NaN
1,4,MFB,13.345580665860325,630.0124477500001,green,green,1,0.9182596250902861,0.9158480419998796
1,5,WSB,15.045626290841028,631.711700583,red,NaN,0,NaN,NaN
1,6,WAA,16.59577487502247,633.262707708,red,red,1,0.9858104579616338,0.9931447919999528
1,7,WFA,18.13071325002238,634.797060417,red,red,1,0.6693439998198301,0.6723869999999579
1,8,WFB,19.729268624912947,636.395605917,red,NaN,0,NaN,NaN
1,9,MSB,21.462792041013017,638.1338618330001,green,NaN,0,NaN,NaN
1,10,MFA,23.229090499924496,639.900825,green,NaN,0,NaN,NaN
1,11,WAB,25.21242025005631,641.8866444580001,red,NaN,0,NaN,NaN
1,12,WFA,27.1812558749225,643.8480369170001,red,NaN,0,NaN,NaN
1,13,MSA,28.895944874966517,645.5619057920001,green,NaN,0,NaN,NaN
1,14,MHA,30.582643624860793,647.253139042,green,NaN,0,NaN,NaN
1,15,WAA,32.24621145799756,648.912897917,red,NaN,0,NaN,NaN
1,16,WHA,34.24699791590683,650.911790125,red,NaN,0,NaN,NaN
1,17,MAA,35.96280345786363,652.628860583,green,NaN,0,NaN,NaN
1,18,MAB,37.481081957928836,654.147383,green,NaN,0,NaN,NaN
1,19,WHB,39.146409207955,655.812897417,red,NaN,0,NaN,NaN
1,20,MNB,41.04633816587739,657.7125795830001,green,NaN,0,NaN,NaN
1,21,WHB,43.032399457879364,659.6972245420001,red,NaN,0,NaN,NaN
1,22,MAB,44.914573249872774,661.579891042,green,NaN,0,NaN,NaN
1,23,MHB,46.56310962489806,663.2296928330001,green,NaN,0,NaN,NaN
1,24,WSA,48.37976862490177,665.046096333,red,NaN,0,NaN,NaN
1,25,WNA,50.0130822500214,666.679043458,red,NaN,0,NaN,NaN
1,26,MHA,51.78182216593996,668.447918625,green,NaN,0,NaN,NaN
1,27,MSA,53.71419958304614,670.3787643750001,green,NaN,0,NaN,NaN
1,28,WFB,55.613145415904,672.2819554580001,red,NaN,0,NaN,NaN
1,29,MSB,57.52972716605291,674.1959460420001,green,NaN,0,NaN,NaN
1,30,MFB,59.48229116597213,676.146232833,green,NaN,0,NaN,NaN
1,31,WNA,61.43178541585803,678.097518333,red,NaN,0,NaN,NaN
1,32,WSA,63.09674137504771,679.762884833,red,NaN,0,NaN,NaN
1,33,MHB,65.09735016594641,681.762359458,green,NaN,0,NaN,NaN
1,34,WAB,66.69676637486555,683.362735042,red,NaN,0,NaN,NaN
1,35,WNB,68.24657712504268,684.912827458,red,NaN,0,NaN,NaN
1,36,MNA,70.06319695804268,686.729253125,green,NaN,0,NaN,NaN
1,37,MFA,71.94818649999797,688.614146333,green,NaN,0,NaN,NaN
1,38,MAA,73.45048645790666,690.116509583,green,NaN,0,NaN,NaN
1,39,WHA,74.96332879085094,691.629483,red,NaN,0,NaN,NaN
1,40,MNA,76.4819181249477,693.1474598750001,green,NaN,0,NaN,NaN
1,41,MHA,78.182492707856,694.8481112080001,green,NaN,0,NaN,NaN
1,42,MAA,79.79718370805494,696.4664425000001,green,NaN,0,NaN,NaN
1,43,WSA,81.4314454998821,698.0964945420001,red,NaN,0,NaN,NaN
1,44,MNA,82.94819404091686,699.6124114170001,green,NaN,0,NaN,NaN
1,45,WNA,84.89724495797418,701.56269075,red,NaN,0,NaN,NaN
1,46,WHB,86.71340070804581,703.3793395,red,NaN,0,NaN,NaN
1,47,WNB,88.32964391587302,704.997054875,red,NaN,0,NaN,NaN
1,48,MSB,89.94636025000364,706.6129600830001,green,NaN,0,NaN,NaN
1,49,MAB,91.59661004086956,708.262689292,green,NaN,0,NaN,NaN
1,50,WSB,93.21316316584125,709.8795562500001,red,NaN,0,NaN,NaN
1,51,MNB,95.16318170796148,711.8296037920001,green,NaN,0,NaN,NaN
1,52,WSB,96.77979866601527,713.447816125,red,NaN,0,NaN,NaN
1,53,MSA,98.64635224989615,715.313687875,green,NaN,0,NaN,NaN
1,54,WAA,100.4296374998521,717.0962517920001,red,NaN,0,NaN,NaN
1,55,MNA,102.3965173328761,719.06230325,green,NaN,0,NaN,NaN
1,56,MFA,104.12983549991623,720.795274583,green,NaN,0,NaN,NaN
1,57,WAA,105.9297511249315,722.5963639170001,red,NaN,0,NaN,NaN
1,58,MSA,107.72995549999177,724.395651542,green,NaN,0,NaN,NaN
1,59,MAB,109.56340683298185,726.230465458,green,NaN,0,NaN,NaN
1,60,WAB,111.13076787488535,727.795374917,red,NaN,0,NaN,NaN
1,61,MFB,112.76654441584833,729.428912125,green,NaN,0,NaN,NaN
1,62,MHB,114.5128864578437,731.1790493750001,green,NaN,0,NaN,NaN
1,63,MNB,116.41310533299111,733.079475083,green,NaN,0,NaN,NaN
1,64,WFB,117.97978816600516,734.6456457500001,red,NaN,0,NaN,NaN
