run,trial_index,face,face_onset_psy,face_onset_dev,correct_key,response_key,is_resp_corr,rt_psy,rt_dev
1,1,WSB,64.6798882081639,5330.314225542001,red,NaN,0,NaN,NaN
1,2,WNB,66.21343320817687,5331.849511292,red,NaN,0,NaN,NaN
1,3,MNB,67.99671975011006,5333.632976875,green,NaN,0,NaN,NaN
1,4,MFB,69.82996579213068,5335.466632875,green,green,1,0.9875060408376157,0.9933175420001135
1,5,WSB,71.58006800012663,5337.216133209,red,NaN,0,NaN,NaN
1,6,WAA,73.34659466706216,5338.983313417,red,red,1,0.6699095410294831,0.6710012079993248
1,7,WFA,74.9633668330498,5340.599623875,red,NaN,0,NaN,NaN
1,8,WFB,76.6300494170282,5342.266072292,red,NaN,0,NaN,NaN
1,9,MSB,78.54762870818377,5344.1844979590005,green,NaN,0,NaN,NaN
1,10,MFA,80.08002841705456,5345.715967625,green,NaN,0,NaN,NaN
1,11,WAB,81.58053583302535,5347.217718167,red,NaN,0,NaN,NaN
1,12,WFA,83.11354833305813,5348.749053834001,red,NaN,0,NaN,NaN
1,13,MSA,84.99716925015673,5350.6338845420005,green,NaN,0,NaN,NaN
1,14,MHA,86.7633610421326,5352.399550042001,green,NaN,0,NaN,NaN
