run,trial_index,face,face_onset_psy,face_onset_dev,correct_key,response_key,is_resp_corr,rt_psy,rt_dev
2,1,WNB,13.495431667004596,1473.286218416,red,NaN,0,NaN,NaN
2,2,MHA,15.178202542003419,1474.973861833,green,NaN,0,NaN,NaN
2,3,WSB,17.028134917003626,1476.8231702500002,red,NaN,0,NaN,NaN
2,4,MAB,18.678245750001224,1478.473385041,green,NaN,0,NaN,NaN
2,5,MFA,20.261549542003195,1480.0561227080002,green,NaN,0,NaN,NaN
2,6,WFA,22.044810084000346,1481.839346125,red,NaN,0,NaN,NaN
2,7,MNB,23.5616327500029,1483.3564250830002,green,NaN,0,NaN,NaN
2,8,WFA,25.49489262499992,1485.289743875,red,NaN,0,NaN,NaN
2,9,WNA,26.994971917003568,1486.7902758330001,red,NaN,0,NaN,NaN
2,10,MNA,28.978331625003193,1488.7736562500002,green,NaN,0,NaN,NaN
