run,trial_index,face,face_onset_psy,face_onset_dev,correct_key,response_key,is_resp_corr,rt_psy,rt_dev
1,1,WSB,9.73127783399832,1143.908413625,red,NaN,0,NaN,NaN
1,2,WNB,11.372953584002971,1145.549381083,red,NaN,0,NaN,NaN
1,3,MNB,13.289768458998878,1147.4663680410001,green,NaN,0,NaN,NaN
1,4,MFB,15.139756208998733,1149.3158223330001,green,NaN,0,NaN,NaN
1,5,WSB,16.939755833998788,1151.115186125,red,NaN,0,NaN,NaN
1,6,WAA,18.622984458997962,1152.799464416,red,NaN,0,NaN,NaN
1,7,WFA,20.6401152920007,1154.822141916,red,NaN,0,NaN,NaN
1,8,WFB,22.456534124998143,1156.633685,red,NaN,0,NaN,NaN
1,9,MSB,24.44005462500354,1158.616019,green,NaN,0,NaN,NaN
1,10,MFA,26.356721042000572,1160.532936666,green,NaN,0,NaN,NaN
