run,trial_index,sound,sound_onset_dev,sound_onset_psy
1,0,STD,4000.9083288340003,30.02979666716419
1,1,STD,4001.440188542,30.562832582974806
1,2,STD,4001.9737657090004,31.09627008298412
1,3,STD,4002.5071742500004,31.62968408316374
1,4,STD,4003.0405519590004,32.163200583076105
1,5,STD,4003.573819125,32.69660195801407
1,6,STD,4004.1071123750003,33.229716249974445
1,7,STD,4004.6408102920004,33.763075542170554
1,8,STD,4005.173805834,34.29656820814125
1,9,STD,4005.7073691670003,34.82991383317858
1,10,STD,4006.240729,35.363822042010725
1,11,STD,4006.7736305840003,35.89628612506203
1,12,STD,4007.3073955420004,36.42983345803805
1,13,STD,4007.840464667,36.96319125010632
1,14,STD,4008.3904905840004,37.5132104170043
1,15,STD,4008.9239446670003,38.046474083093926
1,16,STD,4009.4634170000004,38.59653641702607
1,17,STD,4010.007204125,39.12984020798467
1,18,STD,4010.540453042,39.66321258316748
1,19,STD,4011.073912792,40.19651379203424
1,20,STD,4011.6069484590003,40.72963283304125
1,21,STD,4012.140590209,41.263299542013556
1,22,STD,4012.673816125,41.79643612517975
1,23,STD,4013.2072993750003,42.32989462511614
1,24,STD,4013.740523584,42.86332600004971
1,25,STD,4014.2742066670003,43.39652912504971
1,26,STD,4014.807363709,43.92988683306612
1,27,DDEV,4015.3406076250003,44.463335167150944
1,28,STD,4015.874119417,44.996614542091265
1,29,STD,4016.4071647920005,45.530003833118826
1,30,STD,4016.9403941670002,46.06308725010604
1,31,STD,4017.4740110840003,46.59662733296864
1,32,STD,4018.0073368340004,47.12973929196596
1,33,STD,4018.5407035840003,47.66330737504177
1,34,STD,4019.0739026250003,48.1966070830822
1,35,STD,4019.607353834,48.72996070818044
1,36,STD,4020.140631875,49.263205375056714
1,37,STD,4020.6739995840003,49.79663075017743
1,38,DDEV,4021.207148709,50.32995545817539
1,39,STD,4021.7405810000005,50.8632215000689
1,40,STD,4022.276998834,51.39659758307971
1,41,STD,4022.807354292,51.929868542123586
1,42,STD,4023.3406303340003,52.463338000001386
1,43,STD,4023.8740043340003,52.99653512518853
1,44,STD,4024.4074171250004,53.53009325009771
1,45,STD,4024.940630209,54.063183875055984
1,46,DDEV,4025.4740931250003,54.596784458030015
1,47,STD,4026.0075261250004,55.13000095798634
1,48,STD,4026.540809334,55.66343191708438
1,49,STD,4027.074046,56.196561792166904
1,50,STD,4027.607541834,56.73013454210013
1,51,STD,4028.140790542,57.263402458047494
1,52,STD,4028.674034,57.79653837508522
1,53,STD,4029.2074685840003,58.33013050002046
1,54,STD,4029.7407876670004,58.863330458058044
1,55,STD,4030.2742245000004,59.39678691700101
1,56,DDEV,4030.8071885420004,59.92987241712399
1,57,STD,4031.3409123750002,60.46350804204121
1,58,STD,4031.8739465840004,60.996721833013
1,59,STD,4032.407412542,61.53012241702527
1,60,STD,4033.0740856670004,62.19717120798305
1,61,STD,4033.6080528340003,62.73012308310717
1,62,STD,4034.140787667,63.26345987501554
1,63,DDEV,4034.6742110000005,63.79672441701405
1,64,STD,4035.2580968750003,64.38004991714843
1,65,STD,4035.7905603340005,64.91322541702539
1,66,STD,4036.3241607090004,65.4467659171205
