run,trial_index,sound,sound_onset_dev,sound_onset_psy
1,0,STD,4662.897347334,20.523522458970547
1,1,STD,4663.430408417,21.056807874934748
1,2,STD,4663.963607084001,21.58995299995877
1,3,STD,4664.497003084,22.12338937493041
1,4,STD,4665.031919292001,22.659066874999553
1,5,STD,4665.563677209,23.19025241700001
1,6,STD,4666.097057125,23.723572291899472
1,7,STD,4666.631097584001,24.2581802920904
1,8,STD,4667.163721084,24.790225999895483
1,9,STD,4667.697437625,25.32340412493795
1,10,STD,4668.232338084001,25.859263417078182
1,11,STD,4668.813893792,26.440267083933577
1,12,STD,4669.347737625,26.97350100008771
